City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
209,Pevek,RU,69.7008,170.3133,-17.91,89,100,8.66,light snow
210,Delta Del Tigre,UY,-34.7633,-56.3853,84.2,51,20,14.97,few clouds
211,Morondava,MG,-20.2833,44.2833,80.51,82,84,12.26,moderate rain
212,Port-Cartier,CA,50.0334,-66.8654,35.01,64,92,9.22,overcast clouds
213,Xanlar,AZ,40.5869,46.3158,28.4,69,20,6.91,few clouds
214,Port Hedland,AU,-20.3167,118.5667,78.8,73,93,10.36,overcast clouds
215,Constitucion,CL,-35.3333,-72.4167,65.71,66,21,12.35,few clouds
216,Romanovskaya,RU,47.5426,42.0285,30.88,98,100,10.25,overcast clouds
217,Bengkulu,ID,-3.8004,102.2655,77.54,79,98,4.92,overcast clouds
218,Chiredzi,ZW,-21.05,31.6667,73.49,89,100,4.79,overcast clouds
219,Greenwood,US,34.1668,-82.1165,55.0,32,90,3.44,overcast clouds
220,Tasiilaq,GL,65.6145,-37.6368,14.0,57,7,16.11,clear sky
221,Egvekinot,RU,66.3167,-179.1667,-2.38,86,0,7.61,clear sky
222,Fort Nelson,CA,58.8053,-122.7002,1.4,71,90,2.1,light snow
223,Lagoa,PT,39.05,-27.9833,61.86,95,100,19.91,overcast clouds
224,Buala,SB,-8.145,159.5921,81.37,66,20,4.79,few clouds
225,Primorsk,UA,46.7348,36.3443,40.26,92,100,9.4,overcast clouds
226,Urucara,BR,-2.5364,-57.76,86.4,66,58,1.7,broken clouds
227,Caucaia,BR,-3.7361,-38.6531,82.4,78,20,8.05,few clouds
228,Kodiak,US,57.79,-152.4072,37.4,48,1,25.32,clear sky
229,Honiara,SB,-9.4333,159.95,79.97,72,100,0.96,overcast clouds
230,Anzio,IT,41.4853,12.6179,46.0,72,11,5.01,few clouds
231,Washington,US,47.5001,-120.5015,32.0,79,100,3.15,light snow
232,Taltal,CL,-25.4,-70.4833,72.36,52,22,7.56,few clouds
233,La Crosse,US,43.8014,-91.2396,28.99,68,1,8.05,clear sky
234,Taoru,IN,28.2167,76.95,50.0,93,0,6.91,fog
235,Inhambane,MZ,-23.865,35.3833,80.17,86,99,8.41,light rain
236,Ngawen,ID,-7.0032,111.3129,73.53,94,100,3.8,light rain
237,Narsaq,GL,60.9167,-46.05,26.6,31,0,36.82,clear sky
238,Muros,ES,42.7762,-9.0603,53.01,91,100,12.5,overcast clouds
239,Lompoc,US,34.6391,-120.4579,54.0,71,90,14.97,overcast clouds
240,Dauriya,RU,49.9333,116.8667,-0.62,92,100,11.63,overcast clouds
241,Torbay,CA,47.6666,-52.7314,28.99,80,20,4.61,light snow
242,Lamar,US,33.6668,-95.5836,51.8,100,90,12.66,mist
243,College,US,64.8569,-147.8028,10.0,90,87,2.35,overcast clouds
